Crop,Season,State,Area,Production,Annual_Rainfall
Rapeseed &Mustard,Rabi,Meghalaya,6914.0,4467,High
Rice,Kharif,Meghalaya,105170.0,150101,High
Sesamum,Kharif,Meghalaya,1326.0,688,High
Small millets,Kharif,Meghalaya,2804.0,2237,High
Soyabean,Kharif,Meghalaya,898.0,814,High
Sugarcane,Whole Year,Meghalaya,82.0,225,High
Sweet potato,Whole Year,Meghalaya,5212.0,16978,High
Tapioca,Whole Year,Meghalaya,3959.0,21087,High
Tobacco,Rabi,Meghalaya,742.0,505,High
Turmeric,Whole Year,Meghalaya,1401.0,7126,High
Wheat,Rabi,Meghalaya,4287.0,6894,High
Arecanut,Whole Year,West Bengal,8058.0,12423,High
Arhar/Tur,Whole Year,West Bengal,3630.0,2181,High
Bajra,Kharif,West Bengal,207.0,95,High
Barley,Whole Year,West Bengal,6116.0,5034,High
Cardamom,Whole Year,West Bengal,2674.0,7,High
Castor seed,Whole Year,West Bengal,660.0,46,High
Cotton(lint),Kharif,West Bengal,26000.0,52000,High
Dry chillies,Whole Year,West Bengal,64034.0,55569,High
Gram,Rabi,West Bengal,25485.0,16994,High
Groundnut,Whole Year,West Bengal,29615.0,38672,High
Horse-gram,Kharif,West Bengal,5645.0,2556,High
Jowar,Whole Year,West Bengal,948.0,450,High
Jute,Kharif,West Bengal,641574.0,7549700,High
Khesari,Rabi,West Bengal,25261.0,28460,High
Linseed,Whole Year,West Bengal,16486.0,4210,High
Maize,Whole Year,West Bengal,35469.0,130390,High
Masoor,Rabi,West Bengal,51202.0,35040,High
Mesta,Kharif,West Bengal,9689.0,89000,High
Moong(Green Gram),Kharif,West Bengal,1490.0,711,High
Moong(Green Gram),Rabi,West Bengal,3269.0,1710,High
Moong(Green Gram),Summer,West Bengal,9959.0,303,High
Niger seed,Whole Year,West Bengal,6512.0,3522,High
Potato,Whole Year,West Bengal,284015.0,5581553,High
Ragi,Autumn,West Bengal,12607.0,15330,High
Rapeseed &Mustard,Whole Year,West Bengal,327123.0,250950,High
Rice,Autumn,West Bengal,423121.0,751970,High
Rice,Summer,West Bengal,1206829.0,3569520,High
Safflower,Whole Year,West Bengal,10800.0,3000,High
Sannhamp,Whole Year,West Bengal,2015.0,9073,High
Sesamum,Whole Year,West Bengal,127913.0,88943,High
Small millets,Whole Year,West Bengal,5046.0,3222,High
Soyabean,Kharif,West Bengal,1555.0,1172,High
Sugarcane,Whole Year,West Bengal,25797.0,1818700,High
Turmeric,Whole Year,West Bengal,12481.0,23556,High
Urad,Kharif,West Bengal,69271.0,44480,High
Urad,Rabi,West Bengal,16694.0,10553,High
Wheat,Rabi,West Bengal,367374.0,810480,High
Arecanut,Kharif,Puducherry,66.0,23,Mid
Bajra,Kharif,Puducherry,149.0,324,Mid
Black pepper,Kharif,Puducherry,12.0,7,Mid
Cotton(lint),Summer,Puducherry,453.0,372,Mid
Dry chillies,Kharif,Puducherry,8.0,23,Mid
Groundnut,Rabi,Puducherry,1046.0,2062,Mid
Onion,Kharif,Puducherry,26.0,429,Mid
Ragi,Kharif,Puducherry,112.0,366,Mid
Rice,Kharif,Puducherry,4945.0,11518,Mid
Rice,Rabi,Puducherry,13961.0,30220,Mid
Rice,Summer,Puducherry,5716.0,14863,Mid
Sesamum,Kharif,Puducherry,147.0,120,Mid
Sugarcane,Kharif,Puducherry,2710.0,232369,Mid
Tapioca,Kharif,Puducherry,649.0,19110,Mid
Arecanut,Whole Year,Assam,74457.0,55355,High
Arhar/Tur,Kharif,Assam,7657.0,5389,High
Banana,Whole Year,Assam,41885.0,581884,High
Castor seed,Kharif,Assam,1728.0,708,High
Cotton(lint),Kharif,Assam,1652.0,751,High
Dry chillies,Whole Year,Assam,14724.0,9690,High
Gram,Rabi,Assam,3002.0,1503,High
Jute,Kharif,Assam,78702.0,687173,High
Linseed,Rabi,Assam,10222.0,5212,High
Maize,Kharif,Assam,19810.0,13965,High
Mesta,Kharif,Assam,5260.0,25623,High
Niger seed,Kharif,Assam,8753.0,4478,High
Onion,Whole Year,Assam,8083.0,18341,High
Other  Rabi pulses,Rabi,Assam,116141.0,62330,High
Potato,Whole Year,Assam,76958.0,611077,High
Rapeseed &Mustard,Rabi,Assam,288829.0,135631,High
Rice,Autumn,Assam,594979.0,520605,High
Rice,Summer,Assam,223913.0,446114,High
Rice,Winter,Assam,1635230.0,2288114,High
Sesamum,Kharif,Assam,15940.0,8210,High
Small millets,Kharif,Assam,10547.0,5450,High
Sugarcane,Whole Year,Assam,30571.0,1223578,High
Sweet potato,Whole Year,Assam,9433.0,32437,High
Tapioca,Whole Year,Assam,2798.0,13261,High
Tobacco,Whole Year,Assam,1465.0,732,High
Turmeric,Whole Year,Assam,10729.0,7416,High
Wheat,Rabi,Assam,89591.0,90509,High
Arecanut,Whole Year,Goa,1500.0,1820,High
Banana,Whole Year,Goa,1900.0,14400,High
Black pepper,Whole Year,Goa,250.0,70,High
Cashewnut,Whole Year,Goa,52875.0,15000,High
Groundnut,Kharif,Goa,350.0,412,High
Groundnut,Rabi,Goa,1048.0,2124,High
Other  Rabi pulses,Rabi,Goa,8671.0,9220,High
Ragi,Kharif,Goa,2500.0,2476,High
Rice,Kharif,Goa,41000.0,104249,High
Rice,Rabi,Goa,15439.0,46925,High
Sugarcane,Whole Year,Goa,1320.0,64000,High
Arecanut,Whole Year,Karnataka,98047.0,648365,Mid
Arhar/Tur,Kharif,Karnataka,475396.0,221453,Mid
Bajra,Kharif,Karnataka,415816.0,282231,Mid
Bajra,Rabi,Karnataka,451.0,536,Mid
Bajra,Summer,Karnataka,846.0,498,Mid
Black pepper,Whole Year,Karnataka,4387.0,10342,Mid
Cardamom,Whole Year,Karnataka,20218.0,1153,Mid
Castor seed,Kharif,Karnataka,27246.0,23245,Mid
Coriander,Whole Year,Karnataka,17935.0,2982,Mid
Cotton(lint),Kharif,Karnataka,636495.0,976876,Mid
Dry chillies,Whole Year,Karnataka,170319.0,146498,Mid
Garlic,Whole Year,Karnataka,3574.0,3034,Mid
Ginger,Kharif,Karnataka,3896.0,51169,Mid
Gram,Rabi,Karnataka,355326.0,202508,Mid
Groundnut,Kharif,Karnataka,1012577.0,929016,Mid
Groundnut,Rabi,Karnataka,217445.0,263118,Mid
Horse-gram,Kharif,Karnataka,189486.0,90718,Mid
Horse-gram,Rabi,Karnataka,134779.0,62084,Mid
Jowar,Kharif,Karnataka,420808.0,616645,Mid
Jowar,Rabi,Karnataka,1420162.0,1003450,Mid
Jowar,Summer,Karnataka,8897.0,23144,Mid
Linseed,Rabi,Karnataka,19806.0,6441,Mid
Maize,Kharif,Karnataka,450472.0,1542607,Mid
Maize,Rabi,Karnataka,49922.0,101605,Mid
Maize,Summer,Karnataka,11974.0,27080,Mid
Moong(Green Gram),Kharif,Karnataka,311720.0,61227,Mid
Moong(Green Gram),Rabi,Karnataka,15627.0,7005,Mid
Niger seed,Kharif,Karnataka,41853.0,8104,Mid
Onion,Kharif,Karnataka,79921.0,362053,Mid
Onion,Rabi,Karnataka,8882.0,91057,Mid
Onion,Summer,Karnataka,4797.0,55339,Mid
Peas & beans (Pulses),Kharif,Karnataka,1730.0,15872,Mid
Peas & beans (Pulses),Rabi,Karnataka,494.0,4882,Mid
Peas & beans (Pulses),Summer,Karnataka,1583.0,13707,Mid
Potato,Kharif,Karnataka,28755.0,317052,Mid
Potato,Rabi,Karnataka,4173.0,82124,Mid
Potato,Summer,Karnataka,1137.0,19387,Mid
Potato,Whole Year,Karnataka,268.0,3910,Mid
Ragi,Kharif,Karnataka,986173.0,1664767,Mid
Ragi,Rabi,Karnataka,33833.0,45301,Mid
Ragi,Summer,Karnataka,10673.0,24008,Mid
Rapeseed &Mustard,Kharif,Karnataka,6673.0,1790,Mid
Rice,Kharif,Karnataka,1079193.0,2599170,Mid
Rice,Rabi,Karnataka,51782.0,106072,Mid
Rice,Summer,Karnataka,295830.0,951569,Mid
Safflower,Rabi,Karnataka,97487.0,58727,Mid
Sesamum,Kharif,Karnataka,115250.0,46673,Mid
Soyabean,Kharif,Karnataka,65309.0,70294,Mid
Sunflower,Kharif,Karnataka,430676.0,127090,Mid
Sunflower,Rabi,Karnataka,359514.0,112736,Mid
Sunflower,Summer,Karnataka,43156.0,24211,Mid
Turmeric,Whole Year,Karnataka,5007.0,25386,Mid
Wheat,Rabi,Karnataka,268981.0,219433,Mid
Arecanut,Whole Year,Kerala,73639.0,68479,High
Banana,Whole Year,Kerala,30521.0,386588,High
Black pepper,Whole Year,Kerala,182384.0,68510,High
Cardamom,Whole Year,Kerala,41449.0,4990,High
Cashewnut,Whole Year,Kerala,91268.0,51336,High
Cotton(lint),Kharif,Kerala,10999.0,17752,High
Dry chillies,Whole Year,Kerala,297.0,288,High
Garlic,Whole Year,Kerala,742.0,12614,High
Ginger,Whole Year,Kerala,11107.0,39362,High
Groundnut,Kharif,Kerala,7021.0,5219,High
Jowar,Kharif,Kerala,2177.0,1108,High
Ragi,Kharif,Kerala,1157.0,936,High
Rice,Autumn,Kerala,120217.0,235849,High
Rice,Summer,Kerala,57700.0,144872,High
Rice,Winter,Kerala,174714.0,346022,High
Sesamum,Kharif,Kerala,3303.0,1057,High
Sugarcane,Whole Year,Kerala,6160.0,472160,High
Sweet potato,Whole Year,Kerala,1099.0,11924,High
Tapioca,Whole Year,Kerala,112774.0,2630155,High
Tobacco,Whole Year,Kerala,41.0,228,High
Turmeric,Whole Year,Kerala,3706.0,8034,High
Arecanut,Whole Year,Meghalaya,9585.0,11567,High
Arhar/Tur,Kharif,Meghalaya,861.0,678,High
Banana,Whole Year,Meghalaya,5194.0,62888,High
Cotton(lint),Kharif,Meghalaya,7549.0,5599,High
Dry chillies,Whole Year,Meghalaya,1764.0,1051,High
Ginger,Kharif,Meghalaya,7403.0,45590,High
Gram,Rabi,Meghalaya,463.0,283,High
Jute,Kharif,Meghalaya,4241.0,27097,High
Linseed,Kharif,Meghalaya,51.0,23,High
Maize,Kharif,Meghalaya,17219.0,25272,High
Mesta,Kharif,Meghalaya,4681.0,21362,High
Mesta,Whole Year,Meghalaya,871.0,631,High
Other  Rabi pulses,Rabi,Meghalaya,1938.0,1527,High
Potato,Whole Year,Meghalaya,20753.0,201059,High
Rapeseed &Mustard,Rabi,Meghalaya,6916.0,4576,High
Rice,Kharif,Meghalaya,105402.0,149742,High
Sesamum,Kharif,Meghalaya,1322.0,694,High
Small millets,Kharif,Meghalaya,2823.0,2282,High
Soyabean,Kharif,Meghalaya,899.0,812,High
Sugarcane,Whole Year,Meghalaya,83.0,225,High
Sweet potato,Whole Year,Meghalaya,5181.0,17291,High
Tapioca,Whole Year,Meghalaya,3963.0,21251,High
Tobacco,Whole Year,Meghalaya,742.0,507,High
Turmeric,Whole Year,Meghalaya,1375.0,6997,High
Wheat,Rabi,Meghalaya,4287.0,6998,High
Arecanut,Whole Year,West Bengal,8239.0,13665,High
Arhar/Tur,Kharif,West Bengal,2606.0,1672,High
Bajra,Kharif,West Bengal,175.0,84,High
Barley,Rabi,West Bengal,5938.0,5910,High
Cardamom,Whole Year,West Bengal,2875.0,690,High
Castor seed,Rabi,West Bengal,54.0,38,High
Cotton(lint),Kharif,West Bengal,200.0,73,High
Dry chillies,Whole Year,West Bengal,64354.0,51303,High
Ginger,Kharif,West Bengal,9398.0,18839,High
Gram,Rabi,West Bengal,23286.0,18971,High
Groundnut,Whole Year,West Bengal,30157.0,34994,High
Horse-gram,Rabi,West Bengal,4958.0,2043,High
Jowar,Kharif,West Bengal,886.0,414,High
Jute,Kharif,West Bengal,612066.0,7373630,High
Khesari,Rabi,West Bengal,23300.0,20850,High
Linseed,Rabi,West Bengal,10323.0,2691,High
Maize,Kharif,West Bengal,38519.0,121161,High
Masoor,Rabi,West Bengal,51919.0,35600,High
Mesta,Kharif,West Bengal,9911.0,81030,High
Moong(Green Gram),Kharif,West Bengal,822.0,429,High
Moong(Green Gram),Rabi,West Bengal,2729.0,1598,High
Moong(Green Gram),Summer,West Bengal,9320.0,2980,High
Niger seed,Kharif,West Bengal,7587.0,4100,High
Peas & beans (Pulses),Rabi,West Bengal,9230.0,6776,High
Potato,Whole Year,West Bengal,318199.0,6689636,High
Ragi,Kharif,West Bengal,12895.0,15648,High
Rapeseed &Mustard,Rabi,West Bengal,344358.0,251740,High
Rice,Autumn,West Bengal,425002.0,740688,High
Rice,Summer,West Bengal,1450473.0,4921984,High
Safflower,Rabi,West Bengal,48.0,16,High
Sannhamp,Whole Year,West Bengal,1800.0,9280,High
Sesamum,Whole Year,West Bengal,100425.0,85448,High
Small millets,Kharif,West Bengal,3742.0,1877,High
Small millets,Rabi,West Bengal,1235.0,1387,High
Soyabean,Kharif,West Bengal,800.0,461,High
Sugarcane,Whole Year,West Bengal,26949.0,2001900,High
Sunflower,Kharif,West Bengal,149.0,111,High
Turmeric,Whole Year,West Bengal,12763.0,21487,High
Urad,Kharif,West Bengal,58878.0,25071,High
Urad,Rabi,West Bengal,15112.0,9700,High
Wheat,Rabi,West Bengal,367472.0,778090,High
Arecanut,Whole Year,Assam,73464.0,52924,High
Arhar/Tur,Kharif,Assam,7266.0,5102,High
Banana,Whole Year,Assam,41922.0,583383,High
Castor seed,Kharif,Assam,1726.0,704,High
Cotton(lint),Kharif,Assam,1637.0,746,High
Dry chillies,Whole Year,Assam,14418.0,9516,High
Gram,Rabi,Assam,2336.0,1196,High
Jute,Kharif,Assam,73545.0,657537,High
Linseed,Rabi,Assam,10248.0,5323,High
Maize,Kharif,Assam,19708.0,14056,High
Mesta,Kharif,Assam,5177.0,25515,High
Niger seed,Kharif,Assam,8904.0,4582,High
Onion,Whole Year,Assam,7365.0,17167,High
Other  Rabi pulses,Rabi,Assam,106576.0,58390,High
Potato,Whole Year,Assam,76748.0,699744,High
Rapeseed &Mustard,Rabi,Assam,286241.0,129425,High
Rice,Autumn,Assam,557220.0,514156,High
Rice,Summer,Assam,294654.0,653783,High
Rice,Winter,Assam,1793994.0,2692709,High
Sesamum,Kharif,Assam,15143.0,7866,High
Small millets,Kharif,Assam,10681.0,5467,High
Sugarcane,Whole Year,Assam,29107.0,1154615,High
Sweet potato,Whole Year,Assam,8955.0,30979,High
Tapioca,Whole Year,Assam,2836.0,13444,High
Tobacco,Whole Year,Assam,1373.0,695,High
Turmeric,Whole Year,Assam,10980.0,7586,High
Wheat,Rabi,Assam,76310.0,97583,High
Arecanut,Whole Year,Goa,1550.0,1880,High
Banana,Whole Year,Goa,1950.0,14500,High
Black pepper,Whole Year,Goa,275.0,120,High
Cashewnut,Whole Year,Goa,53292.0,17274,High
Groundnut,Kharif,Goa,350.0,513,High
Groundnut,Rabi,Goa,1004.0,1767,High
Other  Rabi pulses,Rabi,Goa,9227.0,8430,High
Ragi,Kharif,Goa,1000.0,1070,High
Rice,Kharif,Goa,40500.0,96281,High
Rice,Rabi,Goa,16213.0,43642,High
Sugarcane,Whole Year,Goa,1335.0,68440,High
Arecanut,Whole Year,Kerala,81941.0,83337,High
Banana,Whole Year,Kerala,39046.0,398145,High
Black pepper,Whole Year,Kerala,198406.0,47543,High
Cardamom,Whole Year,Kerala,41491.0,6585,High
Cashewnut,Whole Year,Kerala,89403.0,65547,High
Cotton(lint),Kharif,Kerala,4772.0,7702,High
Dry chillies,Whole Year,Kerala,312.0,310,High
Garlic,Whole Year,Kerala,849.0,14433,High
Ginger,Whole Year,Kerala,11264.0,41344,High
Groundnut,Kharif,Kerala,6921.0,5144,High
Jowar,Kharif,Kerala,2529.0,1287,High
Ragi,Kharif,Kerala,870.0,704,High
Rice,Autumn,Kerala,121525.0,252876,High
Rice,Summer,Kerala,58021.0,144551,High
Rice,Winter,Kerala,170228.0,373259,High
Sesamum,Kharif,Kerala,2612.0,718,High
Sugarcane,Whole Year,Kerala,5780.0,578820,High
Sweet potato,Whole Year,Kerala,989.0,10698,High
Tapioca,Whole Year,Kerala,111922.0,2531752,High
Tobacco,Whole Year,Kerala,44.0,245,High
Turmeric,Whole Year,Kerala,3971.0,8362,High
Arecanut,Whole Year,Meghalaya,9645.0,12510,High
Arhar/Tur,Kharif,Meghalaya,871.0,647,High
Banana,Whole Year,Meghalaya,5319.0,63383,High
Castor seed,Kharif,Meghalaya,27.0,14,High
Cotton(lint),Kharif,Meghalaya,7455.0,5549,High
Dry chillies,Whole Year,Meghalaya,1790.0,1128,High
Ginger,Kharif,Meghalaya,7606.0,44710,High
Gram,Rabi,Meghalaya,460.0,283,High
Jute,Kharif,Meghalaya,4235.0,31781,High
Maize,Kharif,Meghalaya,16637.0,24051,High
Mesta,Kharif,Meghalaya,4457.0,20071,High
Potato,Whole Year,Meghalaya,18339.0,143287,High
Rapeseed &Mustard,Rabi,Meghalaya,7042.0,4648,High
Rice,Kharif,Meghalaya,102482.0,156887,High
Rice,Rabi,Meghalaya,3929.0,13846,High
Sesamum,Kharif,Meghalaya,1304.0,680,High
Soyabean,Kharif,Meghalaya,1038.0,928,High
Sugarcane,Whole Year,Meghalaya,80.0,223,High
Sweet potato,Whole Year,Meghalaya,5220.0,17591,High
Tapioca,Whole Year,Meghalaya,4022.0,21497,High
Tobacco,Whole Year,Meghalaya,719.0,488,High
Turmeric,Whole Year,Meghalaya,1458.0,8196,High
Arecanut,Whole Year,Puducherry,65.0,130,Mid
Bajra,Kharif,Puducherry,170.0,470,Mid
Banana,Whole Year,Puducherry,282.0,8890,Mid
Black pepper,Whole Year,Puducherry,12.0,7,Mid
Cashewnut,Whole Year,Puducherry,210.0,177,Mid
Coconut,Whole Year,Puducherry,2214.0,27816000,Mid
Cotton(lint),Kharif,Puducherry,357.0,1835,Mid
Dry chillies,Whole Year,Puducherry,11.0,35,Mid
Ginger,Kharif,Puducherry,133.0,94,Mid
Groundnut,Kharif,Puducherry,898.0,2511,Mid
Moong(Green Gram),Rabi,Puducherry,2453.0,1321,Mid
Onion,Whole Year,Puducherry,14.0,183,Mid
Other  Rabi pulses,Rabi,Puducherry,63.0,123,Mid
Ragi,Kharif,Puducherry,124.0,452,Mid
Rapeseed &Mustard,Rabi,Puducherry,64.0,483,Mid
Rice,Kharif,Puducherry,25444.0,59433,Mid
Sugarcane,Whole Year,Puducherry,2798.0,237610,Mid
Tapioca,Whole Year,Puducherry,365.0,10571,Mid
Urad,Rabi,Puducherry,3159.0,2467,Mid
Arecanut,Whole Year,West Bengal,7677.0,13124,High
Arhar/Tur,Kharif,West Bengal,3077.0,2320,High
Bajra,Kharif,West Bengal,146.0,96,High
Barley,Rabi,West Bengal,5077.0,4686,High
Cardamom,Whole Year,West Bengal,2875.0,690,High
Castor seed,Kharif,West Bengal,35.0,24,High
Cotton(lint),Kharif,West Bengal,750.0,2040,High
Dry chillies,Autumn,West Bengal,16849.0,13874,High
Dry chillies,Rabi,West Bengal,46293.0,38430,High
Ginger,Kharif,West Bengal,9165.0,18890,High
Gram,Rabi,West Bengal,26618.0,21961,High
Groundnut,Kharif,West Bengal,4804.0,3311,High
Groundnut,Rabi,West Bengal,6098.0,9269,High
Groundnut,Summer,West Bengal,23233.0,33214,High
Horse-gram,Rabi,West Bengal,4326.0,2087,High
Jowar,Kharif,West Bengal,1156.0,540,High
Jute,Kharif,West Bengal,613923.0,7593680,High
Khesari,Rabi,West Bengal,23091.0,21964,High
Linseed,Rabi,West Bengal,9855.0,4004,High
Maize,Kharif,West Bengal,35129.0,69682,High
Masoor,Rabi,West Bengal,58760.0,34165,High
Mesta,Kharif,West Bengal,8864.0,81720,High
Moong(Green Gram),Kharif,West Bengal,578.0,293,High
Moong(Green Gram),Rabi,West Bengal,2375.0,1465,High
Moong(Green Gram),Summer,West Bengal,7947.0,3942,High
Niger seed,Kharif,West Bengal,6733.0,3528,High
Peas & beans (Pulses),Rabi,West Bengal,7041.0,6027,High
Potato,Summer,West Bengal,2478.0,33214,High
Potato,Winter,West Bengal,313373.0,7449103,High
Ragi,Kharif,West Bengal,12489.0,15051,High
Rapeseed &Mustard,Rabi,West Bengal,345961.0,278540,High
Rice,Autumn,West Bengal,427155.0,827970,High
Rice,Summer,West Bengal,1474338.0,4468400,High
Safflower,Rabi,West Bengal,60.0,19,High
Sannhamp,Autumn,West Bengal,1448.0,7810,High
Sannhamp,Rabi,West Bengal,107.0,298,High
Sesamum,Autumn,West Bengal,891.0,406,High
Sesamum,Summer,West Bengal,102044.0,72230,High
Sesamum,Winter,West Bengal,2510.0,1285,High
Small millets,Kharif,West Bengal,3702.0,1924,High
Small millets,Rabi,West Bengal,1505.0,1541,High
Soyabean,Kharif,West Bengal,730.0,441,High
Sugarcane,Whole Year,West Bengal,22883.0,1762806,High
Sunflower,Kharif,West Bengal,150.0,90,High
Tobacco,Whole Year,West Bengal,11442.0,6694,High
Turmeric,Whole Year,West Bengal,13283.0,20023,High
Urad,Kharif,West Bengal,60254.0,35523,High
Urad,Rabi,West Bengal,18527.0,10987,High
Wheat,Rabi,West Bengal,364155.0,850778,High
Arecanut,Whole Year,Andhra Pradesh,262.0,724,Mid
Arhar/Tur,Kharif,Andhra Pradesh,507366.0,216457,Mid
Arhar/Tur,Rabi,Andhra Pradesh,6098.0,2701,Mid
Bajra,Kharif,Andhra Pradesh,129475.0,135964,Mid
Bajra,Rabi,Andhra Pradesh,14229.0,12524,Mid
Banana,Whole Year,Andhra Pradesh,49051.0,819660,Mid
Cashewnut,Whole Year,Andhra Pradesh,145315.0,31074,Mid
Castor seed,Kharif,Andhra Pradesh,398561.0,136860,Mid
Coriander,Whole Year,Andhra Pradesh,58441.0,19993,Mid
Cotton(lint),Kharif,Andhra Pradesh,1021721.0,1662683,Mid
Dry chillies,Kharif,Andhra Pradesh,183741.0,410643,Mid
Dry chillies,Rabi,Andhra Pradesh,54262.0,115528,Mid
Ginger,Whole Year,Andhra Pradesh,2329.0,6515,Mid
Gram,Kharif,Andhra Pradesh,100.0,173,Mid
Gram,Rabi,Andhra Pradesh,200763.0,228546,Mid
Groundnut,Kharif,Andhra Pradesh,1601349.0,1697233,Mid
Groundnut,Rabi,Andhra Pradesh,272468.0,445720,Mid
Horse-gram,Kharif,Andhra Pradesh,13824.0,6838,Mid
Horse-gram,Rabi,Andhra Pradesh,64789.0,13492,Mid
Jowar,Kharif,Andhra Pradesh,332435.0,328490,Mid
Jowar,Rabi,Andhra Pradesh,344493.0,290498,Mid
Linseed,Rabi,Andhra Pradesh,5486.0,1093,Mid
Maize,Kharif,Andhra Pradesh,430544.0,1107165,Mid
Maize,Rabi,Andhra Pradesh,97123.0,473602,Mid
Mesta,Kharif,Andhra Pradesh,77823.0,686947,Mid
Moong(Green Gram),Kharif,Andhra Pradesh,392017.0,141194,Mid
Moong(Green Gram),Rabi,Andhra Pradesh,128365.0,43016,Mid
Niger seed,Kharif,Andhra Pradesh,18452.0,6001,Mid
Onion,Kharif,Andhra Pradesh,17058.0,227873,Mid
Onion,Rabi,Andhra Pradesh,13248.0,308617,Mid
Other  Rabi pulses,Rabi,Andhra Pradesh,14200.0,5471,Mid
Potato,Whole Year,Andhra Pradesh,2489.0,14618,Mid
Ragi,Kharif,Andhra Pradesh,83492.0,92780,Mid
Ragi,Rabi,Andhra Pradesh,15760.0,27299,Mid
Rapeseed &Mustard,Rabi,Andhra Pradesh,4482.0,1048,Mid
Rice,Rabi,Andhra Pradesh,1239053.0,4224208,Mid
Safflower,Rabi,Andhra Pradesh,16198.0,6574,Mid
Sesamum,Kharif,Andhra Pradesh,143737.0,29348,Mid
Sesamum,Rabi,Andhra Pradesh,39066.0,7893,Mid
Small millets,Kharif,Andhra Pradesh,64766.0,38398,Mid
Small millets,Rabi,Andhra Pradesh,1961.0,1449,Mid
Sugarcane,Whole Year,Andhra Pradesh,237150.0,17690131,Mid
